Drink,DrinkThumb,Glass,Ingredient1,Ingredient10,Ingredient11,Ingredient12,Ingredient13,Ingredient14,Ingredient15,Ingredient2,Ingredient3,Ingredient4,Ingredient5,Ingredient6,Ingredient7,Ingredient8,Ingredient9,Instructions,Description,unit1,combined1,unit2,combined2,unit3,combined3,unit4,combined4,unit5,combined5,unit6,combined6,unit7,combined7,unit8,combined8,unit9,combined9,unit10,combined10,unit11,combined11,unit12,combined12,unit13,combined13,unit14,combined14,unit15,combined15
Bora Bora,Http://www.thecocktaildb.com/images/media/drink/xwuqvw1473201811.jpg,Highball Glass,Pineapple Juice,,,,,,,Passion Fruit Juice,Lemon Juice,Grenadine,,,,,,"Prepare in a blender or shaker, serve in a highball glass on the rocks. Garnish with 1 slice of pineapple and one cherry.","Bora Bora: A tropical cocktail made with rum, pineapple juice, and orange juice.",ml,100,ml,60,ml,10,ml,10,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Boston Sidecar,Http://www.thecocktaildb.com/images/media/drink/qzs5d11504365962.jpg,Cocktail Glass,Light Rum,,,,,,,Brandy,Triple Sec,Lime,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Boston Sidecar: A twist on the classic Sidecar made with rum instead of brandy.,ml,22.5,ml,22.5,ml,22.5,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Boston Sour,Http://www.thecocktaildb.com/images/media/drink/kxlgbi1504366100.jpg,Whiskey Sour Glass,Blended Whiskey,,,,,,,Lemon,Powdered Sugar,Egg White,Lemon,Cherry,,,,"Shake juice of lemon, powdered sugar, blended whiskey, and egg white with cracked ice and strain into a whiskey sour glass. Add the slice of lemon, top with the cherry, and serve.",Boston Sour: A whiskey sour with a red wine float on top.,ml,60,, ,ml,5,, ,slice , 1,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Bourbon Sling,Http://www.thecocktaildb.com/images/media/drink/3s36ql1504366260.jpg,Highball Glass,Sugar,,,,,,,Water,Lemon Juice,Bourbon,Lemon Peel,,,,,"In a shaker half-filled with ice cubes, combine the sugar, water, lemon juice, and bourbon. Shake well. Strain well. Strain into a highball glass. Garnish with the lemon twist.","Bourbon Sling: A refreshing cocktail made with bourbon, lemon juice, and simple syrup.",ml,5,ml,10,ml,30,ml,60,twist of , 1,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Bourbon Sour,Http://www.thecocktaildb.com/images/media/drink/dms3io1504366318.jpg,Whiskey Sour Glass,Bourbon,,,,,,,Lemon Juice,Sugar,Orange,Maraschino Cherry,,,,,"In a shaker half-filled with ice cubes, combine the bourbon, lemon juice, and sugar. Shake well. Strain into a whiskey sour glass, garnish with the orange slice and cherry.",Bourbon Sour: A classic sour made with bourbon instead of whiskey.,ml,60,ml,30,ml,2.5,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Boxcar,Http://www.thecocktaildb.com/images/media/drink/pwgtpa1504366376.jpg,Whiskey Sour Glass,Gin,,,,,,,Triple Sec,Lemon Juice,Grenadine,Egg White,,,,,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.",Boxcar: A simple and straightforward cocktail made with bourbon and lemon juice.,ml,45,ml,30,ml,5,ml,2.5,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Brain Fart,Http://www.thecocktaildb.com/images/media/drink/rz5aun1504389701.jpg,Punch Bowl,Everclear,,,,,,,Vodka,Mountain Dew,Surge,Lemon Juice,Rum,,,,Mix all ingredients together. Slowly and gently. Works best if ice is added to punch bowl and soda's are very cold.,"Brain Fart: A whimsically named cocktail made with vodka, peach schnapps, cranberry juice, and orange juice.",ml,200,ml,200,ml,2000,ml,2000,ml,250,ml,568,, ,, ,, ,, ,, ,, ,, ,, ,, 
Brainteaser,Http://www.thecocktaildb.com/images/media/drink/ruywtq1461866066.jpg,Shot Glass,Sambuca,,,,,,,Erin Cream,Advocaat,,,,,,,"layered erin first, then sambuca and then avocart(should sit in middle of other two. To drink: use a straw to suck up avocart then shot the rest and then suck fumes up through straw.","Brainteaser: A fruity and tangy cocktail made with gin, orange juice, cranberry juice, and grenadine.",ml,30,ml,30,ml,5,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Bramble,Http://www.thecocktaildb.com/images/media/drink/lvzl3r1504372526.jpg,Old-fashioned Glass,Gin,,,,,,,Lemon Juice,Sugar Syrup,Creme De Mure,,,,,,"Fill glass with crushed ice. Build gin, lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice.","Bramble: A refreshing and fruity cocktail made with gin, blackberry liqueur, lemon juice, and simple syrup.",ml,40,ml,50,ml,10,ml,50,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Brandon And Will's Coke Float,Http://www.thecocktaildb.com/images/media/drink/xspxyr1472719185.jpg,Beer Mug,Vanilla Ice-cream,,,,,,,Coca-cola,Bourbon,,,,,,,"Scoop two large scoops of vanilla ice-cream into frosted beer mug. Next, add 2 ounces Maker's Mark. Then, pour in coke. Gently stir and enjoy.","Brandon and Will's Coke Float: A nostalgic and indulgent cocktail made with cola, vanilla vodka, and vanilla ice cream.",ml,100,ml,330,ml,60,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Brandy Alexander,Http://www.thecocktaildb.com/images/media/drink/tvqxvr1483387746.jpg,Cocktail Glass,Brandy,,,,,,,Creme De Cacao,Light Cream,Nutmeg,,,,,,Shake all ingredients (except nutmeg) with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,"Brandy Alexander: A creamy and smooth cocktail made with brandy, creme de cacao, and cream.",ml,30,ml,30,ml,30,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Brandy Cobbler,Http://www.thecocktaildb.com/images/media/drink/vtvutr1439465836.jpg,Old-fashioned Glass,Sugar,,,,,,,Club Soda,Lemon,Brandy,Maraschino Cherry,Orange,,,,"In an old-fashioned glass, dissolve the sugar in the club soda. Add crushed ice until the glass is almost full. Add the brandy. Stir well. Garnish with the cherry and the orange and lemon slices.","Brandy Cobbler: A classic cocktail made with brandy, sugar, fresh fruit, and crushed ice.",ml,5,ml,90,, ,ml,60,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Brandy Flip,Http://www.thecocktaildb.com/images/media/drink/6ty09d1504366461.jpg,Whiskey Sour Glass,Brandy,,,,,,,Egg,Sugar,Light Cream,Nutmeg,,,,,"In a shaker half-filled with ice cubes, combine the brandy, egg, sugar, and cream. Shake well. Strain into a sour glass and garnish with the nutmeg.","Brandy Flip: A rich and warming cocktail made with brandy, egg yolk, sugar, and nutmeg.",ml,60,whole , 1,ml,5,ml,15,ml,0.625,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Brandy Sour,Http://www.thecocktaildb.com/images/media/drink/tu0mts1504366540.jpg,Whiskey Sour Glass,Brandy,,,,,,,Lemon,Powdered Sugar,Lemon,Cherry,,,,,"Shake brandy, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Decorate with the lemon slice, top with the cherry, and serve.","Brandy Sour: A simple and tangy cocktail made with brandy, lemon juice, and sugar syrup.",ml,60,, ,ml,2.5,slice , 1/2,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Brave Bull Shooter,Http://www.thecocktaildb.com/images/media/drink/yrtypx1473344625.jpg,Shot Glass,Tequila,,,,,,,Tabasco Sauce,,,,,,,,Pour Tabasco into bottom of shot glass and fill with tequila.,Brave Bull Shooter: A bold and potent shooter made with tequila and coffee liqueur.,ml,15,ml,15,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Bruce's Puce,Http://www.thecocktaildb.com/images/media/drink/svsvqv1473344558.jpg,Shot Glass,Grenadine,,,,,,,Kahlua,Bailey's Irish Cream,,,,,,,"In a regular-sized shot glass, layer, with a spoon or cherry, the grenadine , the Kahlua , then the Bailey's Irish cream in equal portions. It goes down really smooth ,and you don't even need a chaser. It tastes just like chocolate milk.(Really!)","Bruce's Puce: A whimsically named cocktail made with peach schnapps, orange juice, and cranberry juice.",, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Bruised Heart,Http://www.thecocktaildb.com/images/media/drink/7if5kq1503564209.jpg,Shot Glass,Vodka,,,,,,,Chambord Raspberry Liqueur,Peachtree Schnapps,Cranberry Juice,,,,,,"Pour all ingredients in a mixing tin over ice, stir, and strain into shot glass","Bruised Heart: A bittersweet and complex cocktail made with gin, vermouth, maraschino liqueur, and orange bitters.",ml,15,ml,15,ml,15,ml,15,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Bubble Gum,Http://www.thecocktaildb.com/images/media/drink/spuurv1468878783.jpg,Shot Glass,Vodka,,,,,,,Banana Liqueur,Orange Juice,Peach Schnapps,,,,,,Layer in order into a shot glass.,"Bubble Gum: A fun and sweet cocktail made with bubble gum-flavored vodka, cranberry juice, and lemon-lime soda.",, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Buccaneer,Http://www.thecocktaildb.com/images/media/drink/upvtyt1441249023.jpg,Beer Pilsner,Corona,,,,,,,Bacardi Limon,,,,,,,,Pour the corona into an 18oz beer glass pour the bacardi limon into the beer stir very gently,"Buccaneer: A tropical and fruity cocktail made with dark rum, orange juice, pineapple juice, and grenadine.",, ,ml,30,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Bumble Bee #1,Http://www.thecocktaildb.com/images/media/drink/uwqpvv1461866378.jpg,Shot Glass,Bailey's Irish Cream,,,,,,,Kahlua,Sambuca,,,,,,,"This is a layered shot. First pour the Bailey's into the shot glass. Then take an upside down spoon and touch it to the inside wall of the glass. Carefully add the Kahlua. Repeat this process for the Sambuca. If done properly, the alcohol will stay separated and resemble a bumble bee. Enjoy!!!","Bumble Bee #1: A vibrant and sweet cocktail made with rum, coffee liqueur, honey, and cream.",ml,10,ml,10,ml,10,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Butter Baby,Http://www.thecocktaildb.com/images/media/drink/1xhjk91504783763.jpg,Beer Mug,Vanilla Ice-cream,,,,,,,Butterscotch Schnapps,Milk,Vodka,,,,,,Blend together in a blender. Serve in a chilled Beer mug with Fresh Blueberries and caramel for topping.,Butter Baby: A creamy and indulgent cocktail with a smooth buttery flavor.,ml,100,part, 1,, ,part, 2,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Cafe Savoy,Http://www.thecocktaildb.com/images/media/drink/vqwptt1441247711.jpg,Coffee Mug,Coffee,,,,,,,Milk,Triple Sec,Brandy,,,,,,"Fill mug almost to top with coffee.Add milk, triple sec and brandy. Stir.",Cafe Savoy: A sophisticated coffee-based cocktail that blends the richness of coffee with spirits for a delightful pick-me-up.,, ,ml,15,ml,15,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Caipirinha,Http://www.thecocktaildb.com/images/media/drink/xyrppt1469090521.jpg,Old-fashioned Glass,Sugar,,,,,,,Lime,Cachaca,,,,,,,Place lime and sugar into old fashioned glass and muddle (mash the two ingredients together using a muddler or a wooden spoon). Fill the glass with ice and add the Cachaça.,"Caipirinha: A refreshing Brazilian cocktail made with cachaça, lime, and sugar, known for its vibrant citrus flavors.",ml,10,, ,ml,75,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Caipirissima,Http://www.thecocktaildb.com/images/media/drink/yd47111503565515.jpg,Collins Glass,Lime,,,,,,,Sugar,White Rum,Ice,,,,,,Same as Caipirinha but instead of cachaca you add WHITE RUM. It's great!!!!!!!!,"Caipirissima: Similar to the Caipirinha, but made with rum instead of cachaça, resulting in a slightly different flavor profile.",, ,ml,30,ml,90,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
California Lemonade,Http://www.thecocktaildb.com/images/media/drink/qvvxwy1472406424.jpg,Collins Glass,Blended Whiskey,,,,,,,Lemon,Lime,Powdered Sugar,Grenadine,Carbonated Water,,,,Shake all ingredients (except carbonated water) with ice and strain into a collins glass over shaved ice. Fill with carbonated water and stir. Decorate with slices of orange and lemon. Add the cherry and serve with a straw.,"California Lemonade: A sunny and citrusy beverage that combines lemon juice, spirits, and a touch of sweetness for a refreshing sip.",ml,60,, ,, ,ml,15,ml,1.25,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
California Root Beer,Http://www.thecocktaildb.com/images/media/drink/rsxuyr1472719526.jpg,Highball Glass,Kahlua,,,,,,,Galliano,Soda Water,,,,,,,Put Kahlua and Galliano in highball glass fill with soda,"California Root Beer: A delightful twist on the classic root beer float, combining root beer, spirits, and creamy flavors for a nostalgic treat.",ml,22.5,ml,22.5,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Campari Beer,Http://www.thecocktaildb.com/images/media/drink/xsqrup1441249130.jpg,Beer Mug,Lager,,,,,,,Campari,,,,,,,,Use a 15 oz glass. Add Campari first. Fill with beer.,"Campari Beer: A unique combination of bitter Campari liqueur and beer, resulting in a distinctive and refreshing taste.",ml,500,ml,15,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Caribbean Boilermaker,Http://www.thecocktaildb.com/images/media/drink/svsxsv1454511666.jpg,Beer Pilsner,Corona,,,,,,,Light Rum,,,,,,,,Pour the Corona into an 18oz beer glass pour the rum into the beer.,"Caribbean Boilermaker: A tropical-inspired twist on the classic boilermaker, combining rum and beer for a Caribbean flair.",ml,500,ml,30,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Caribbean Orange Liqueur,Http://www.thecocktaildb.com/images/media/drink/qwxuwy1472667570.jpg,Collins Glass,Orange,,,,,,,Vodka,Sugar,,,,,,,"Pare very thinly the bright-colored rind from the oranges (no white). Blot the peel on paper towels to remove any excess oil. Put peel in a 4 cup screw-top jar. Add 2 cups vodka. Close jar. Store in a cool, dark place for 2 days or until the vodka has absorbed the flavor. Remove peel and add remaining vodka. Close jar and add remaining cup of vodka. Close the jar and store in a cool dark place at least 1 month to age.",Caribbean Orange Liqueur: A fruity and tropical liqueur that infuses the flavors of the Caribbean with the sweetness of oranges.,large , 3,ml,720,ml,320,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Casino,Http://www.thecocktaildb.com/images/media/drink/1mvjxg1504348579.jpg,Cocktail Glass,Gin,,,,,,,Maraschino Liqueur,Lemon Juice,Orange Bitters,Cherry,,,,,Pour all ingredients into shaker with ice cubes. Shake well. Strain into chilled cocktail glass. Garnish with a lemon twist and a maraschino cherry. Serve without a straw.,"Casino: A classic cocktail that blends gin, maraschino liqueur, orange bitters, and lemon juice for a balanced and sophisticated drink.",ml,60,ml,1.25,ml,1.25,ml,2,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Casino Royale,Http://www.thecocktaildb.com/images/media/drink/3qpv121504366699.jpg,Whiskey Sour Glass,Gin,,,,,,,Lemon Juice,Maraschino Liqueur,Orange Bitters,Egg Yolk,,,,,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.","Casino Royale: A glamorous and elegant cocktail featuring gin, lemon juice, maraschino liqueur, and orange bitters, inspired by the James Bond novel.",ml,60,ml,15,ml,5,ml,1,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Castillian Hot Chocolate,Http://www.thecocktaildb.com/images/media/drink/3nbu4a1487603196.jpg,Coffee Mug,Cocoa Powder,,,,,,,Sugar,Cornstarch,Water,Milk,,,,,"Shift the cocoa and sugar together into a medium-sized saucepan. Dissolve the cornstarch in the water, and stir into the cocoa and sugar until it is a smooth paste. Begin heating the mixture, stirring it with a whisk, and gradually pour in the milk. Continue stirring with the whisk as you bring the liquid to a simmer. Allow the chocolate to simmer for about 10 minutes, stirring often, until it is thick, glossy and completely smooth. Serve steaming hot in coffee mug. Serves six.","Castillian Hot Chocolate: A rich and decadent hot chocolate spiked with spices or spirits, providing warmth and indulgence.",ml,120,ml,240,ml,35,ml,120,ml,950,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Champagne Cocktail,Http://www.thecocktaildb.com/images/media/drink/ehh5df1504366811.jpg,Champagne Flute,Champagne,,,,,,,Sugar,Bitters,Lemon Peel,Cognac,,,,,Add dash of Angostura bitter onto sugar cube and drop it into champagne flute. Add cognac followed by gently pouring chilled champagne. Garnish with orange slice and maraschino cherry.,"Champagne Cocktail: A timeless and celebratory cocktail that combines champagne, sugar, and aromatic bitters for an effervescent delight.",, ,piece , 1,ml,2,twist of , 1,ml,1,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Cherry Electric Lemonade,Http://www.thecocktaildb.com/images/media/drink/tquyyt1451299548.jpg,Pint Glass,Gin,,,,,,,Tequila,Vodka,White Rum,Triple Sec,Cherry Grenadine,Sweet And Sour,Club Soda,,Now stir vigorously and then pour over a large cup of ice. Now drink it with a straw and stir occasionally.,"Cherry Electric Lemonade: A vibrant and fruity cocktail featuring cherries, lemonade, and an extra kick of spirits for a lively twist.",ml,30,ml,30,ml,30,ml,30,ml,30,ml,30,ml,30,ml,90,, ,, ,, ,, ,, ,, ,, 
Cherry Rum,Http://www.thecocktaildb.com/images/media/drink/twsuvr1441554424.jpg,Cocktail Glass,Light Rum,,,,,,,Cherry Brandy,Light Cream,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.","Cherry Rum: A delightful blend of rum and cherry flavors, offering a sweet and fruity profile.",ml,37.5,ml,7.5,ml,15,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Chicago Fizz,Http://www.thecocktaildb.com/images/media/drink/qwvwqr1441207763.jpg,Highball Glass,Light Rum,,,,,,,Port,Lemon,Powdered Sugar,Egg White,Carbonated Water,,,,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.","Chicago Fizz: A classic cocktail that combines gin, lemon juice, sugar, and soda water for a refreshing and effervescent experience.",ml,30,ml,30,, ,ml,5,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Chocolate Beverage,Http://www.thecocktaildb.com/images/media/drink/jbqrhv1487603186.jpg,Coffee Mug,Milk,,,,,,,Chocolate,Cinnamon,Egg,,,,,,"Boil milk in the top of a deep double boiler five minutes. Remove from fire and add chocolate, mixed with the cinnamon, a little at a time, beating with molinillo or egg beater after each addition. When the chocolate is thoroughly blended, heat to the boiling point. Place over bottom of double boiler and add eggs, whipping constantly, until they are thoroughly blended and the mixture is frothing. Serve in coffee mug. Serves eight.",Chocolate Beverage: A rich and velvety drink that indulges the senses with the smoothness of chocolate and the warmth of spirits.,ml,1440,ml,90,ml,5,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Chocolate Black Russian,Http://www.thecocktaildb.com/images/media/drink/yyvywx1472720879.jpg,Champagne Flute,Kahlua,,,,,,,Vodka,Chocolate Ice-cream,,,,,,,Combine all ingredients in an electric blender and blend at a low speed for a short length of time. Pour into a chilled champagne flute and serve.,"Chocolate Black Russian: A decadent variation of the classic Black Russian cocktail, adding a luscious chocolate element to the mix.",ml,30,ml,15,ml,150,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Chocolate Drink,Http://www.thecocktaildb.com/images/media/drink/q7w4xu1487603180.jpg,Coffee Mug,Chocolate,,,,,,,Milk,Water,,,,,,,"Melt the bar in a small amount of boiling water. Add milk. Cook over low heat, whipping gently (with a whisk, i would assume) until heated well. Don't let it boil! Serve in coffee mug.","Chocolate Drink: A comforting and sweet beverage that showcases the beloved flavor of chocolate, perfect for cozy moments.",ml,125,ml,750,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Chocolate Milk,Http://www.thecocktaildb.com/images/media/drink/j6q35t1504889399.jpg,Shot Glass,Chocolate Liqueur,,,,,,,Milk,Amaretto,,,,,,,"Put the milk in the bottom, pour the Liquer on top and add the dash of amaretto. Do not mix. SLAM IT!",Chocolate Milk: A nostalgic and comforting drink that combines the goodness of milk with the sweetness of chocolate.,ml,15,ml,15,ml,1,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Chocolate Monkey,Http://www.thecocktaildb.com/images/media/drink/tyvpxt1468875212.jpg,Parfait Glass,Banana Liqueur,,,,,,,Creme De Cacao,Chocolate Ice-cream,Chocolate Syrup,Chocolate Milk,Whipped Cream,Cherry,Banana,,"blend liqeuors with ice-cream, milk and syrup. pour into parfait glass, top with whipped cream and garnish with banana and cherry.","Chocolate Monkey: A creamy and delicious cocktail that blends the flavors of chocolate, banana, and spirits for a delightful treat.",ml,30,ml,60,ml,100,ml,30,ml,120,, ,, ,piece , 1,, ,, ,, ,, ,, ,, ,, 
Citrus Coke,Http://www.thecocktaildb.com/images/media/drink/uyrvut1479473214.jpg,Highball Glass,Bacardi Limon,,,,,,,Coca-cola,,,,,,,,Pour half of coke in a glass. Then add Bacardi and top it off with the remaining coke. Stir and drink up!,"Citrus Coke: A zesty and refreshing combination of citrus flavors and the beloved cola beverage, resulting in a bright and tangy drink.",part, 1,part, 2,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
