Drink,DrinkThumb,Glass,Ingredient1,Ingredient10,Ingredient11,Ingredient12,Ingredient13,Ingredient14,Ingredient15,Ingredient2,Ingredient3,Ingredient4,Ingredient5,Ingredient6,Ingredient7,Ingredient8,Ingredient9,Instructions,Measure1,Measure10,Measure11,Measure12,Measure13,Measure14,Measure15,Measure2,Measure3,Measure4,Measure5,Measure6,Measure7,Measure8,Measure9,Description
Cherry Electric Lemonade,Http://www.thecocktaildb.com/images/media/drink/tquyyt1451299548.jpg,Pint Glass,Gin,,,,,,,Tequila,Vodka,White Rum,Triple Sec,Cherry Grenadine,Sweet And Sour,Club Soda,,Now stir vigorously and then pour over a large cup of ice. Now drink it with a straw and stir occasionally.,1 oz,,,,,,,1 oz,1 oz,1 oz,1 oz,1 oz,1 oz,3 oz,,"Cherry Electric Lemonade: A vibrant and fruity cocktail featuring cherries, lemonade, and an extra kick of spirits for a lively twist."
Cherry Rum,Http://www.thecocktaildb.com/images/media/drink/twsuvr1441554424.jpg,Cocktail Glass,Light Rum,,,,,,,Cherry Brandy,Light Cream,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",1 1/4 oz ,,,,,,,1 1/2 tsp ,1 tblsp ,,,,,,,"Cherry Rum: A delightful blend of rum and cherry flavors, offering a sweet and fruity profile."
Chicago Fizz,Http://www.thecocktaildb.com/images/media/drink/qwvwqr1441207763.jpg,Highball Glass,Light Rum,,,,,,,Port,Lemon,Powdered Sugar,Egg White,Carbonated Water,,,,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",1 oz ,,,,,,,1 oz ,Juice of 1/2 ,1 tsp ,1 ,,,,,"Chicago Fizz: A classic cocktail that combines gin, lemon juice, sugar, and soda water for a refreshing and effervescent experience."
Chocolate Beverage,Http://www.thecocktaildb.com/images/media/drink/jbqrhv1487603186.jpg,Coffee Mug,Milk,,,,,,,Chocolate,Cinnamon,Egg,,,,,,"Boil milk in the top of a deep double boiler five minutes. Remove from fire and add chocolate, mixed with the cinnamon, a little at a time, beating with molinillo or egg beater after each addition. When the chocolate is thoroughly blended, heat to the boiling point. Place over bottom of double boiler and add eggs, whipping constantly, until they are thoroughly blended and the mixture is frothing. Serve in coffee mug. Serves eight.",6 cups ,,,,,,,3 oz Mexican ,1 tsp powdered ,3 ,,,,,,Chocolate Beverage: A rich and velvety drink that indulges the senses with the smoothness of chocolate and the warmth of spirits.
Chocolate Black Russian,Http://www.thecocktaildb.com/images/media/drink/yyvywx1472720879.jpg,Champagne Flute,Kahlua,,,,,,,Vodka,Chocolate Ice-cream,,,,,,,Combine all ingredients in an electric blender and blend at a low speed for a short length of time. Pour into a chilled champagne flute and serve.,1 oz ,,,,,,,1/2 oz ,5 oz ,,,,,,,"Chocolate Black Russian: A decadent variation of the classic Black Russian cocktail, adding a luscious chocolate element to the mix."
Chocolate Drink,Http://www.thecocktaildb.com/images/media/drink/q7w4xu1487603180.jpg,Coffee Mug,Chocolate,,,,,,,Milk,Water,,,,,,,"Melt the bar in a small amount of boiling water. Add milk. Cook over low heat, whipping gently (with a whisk, i would assume) until heated well. Don't let it boil! Serve in coffee mug.",125 gr,,,,,,,3/4 L ,,,,,,,,"Chocolate Drink: A comforting and sweet beverage that showcases the beloved flavor of chocolate, perfect for cozy moments."
Chocolate Milk,Http://www.thecocktaildb.com/images/media/drink/j6q35t1504889399.jpg,Shot Glass,Chocolate Liqueur,,,,,,,Milk,Amaretto,,,,,,,"Put the milk in the bottom, pour the Liquer on top and add the dash of amaretto. Do not mix. SLAM IT!",1/2 shot ,,,,,,,1/2 shot ,1 dash ,,,,,,,Chocolate Milk: A nostalgic and comforting drink that combines the goodness of milk with the sweetness of chocolate.
Chocolate Monkey,Http://www.thecocktaildb.com/images/media/drink/tyvpxt1468875212.jpg,Parfait Glass,Banana Liqueur,,,,,,,Creme De Cacao,Chocolate Ice-cream,Chocolate Syrup,Chocolate Milk,Whipped Cream,Cherry,Banana,,"blend liqeuors with ice-cream, milk and syrup. pour into parfait glass, top with whipped cream and garnish with banana and cherry.",1 shot ,,,,,,,2 shots ,2 scoops ,1 oz ,4 oz ,1 ,1 ,1 piece ,,"Chocolate Monkey: A creamy and delicious cocktail that blends the flavors of chocolate, banana, and spirits for a delightful treat."
Citrus Coke,Http://www.thecocktaildb.com/images/media/drink/uyrvut1479473214.jpg,Highball Glass,Bacardi Limon,,,,,,,Coca-cola,,,,,,,,Pour half of coke in a glass. Then add Bacardi and top it off with the remaining coke. Stir and drink up!,1 part ,,,,,,,2 parts ,,,,,,,,"Citrus Coke: A zesty and refreshing combination of citrus flavors and the beloved cola beverage, resulting in a bright and tangy drink."
City Slicker,Http://www.thecocktaildb.com/images/media/drink/dazdlg1504366949.jpg,Cocktail Glass,Brandy,,,,,,,Triple Sec,Lemon Juice,,,,,,,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",2 oz ,,,,,,,1/2 oz ,1 tblsp ,,,,,,,"City Slicker: A sophisticated cocktail that brings together the flavors of whiskey, vermouth, and bitters for a smooth and timeless drink."
Classic Old-fashioned,Http://www.thecocktaildb.com/images/media/drink/anhof61504366173.jpg,Old-fashioned Glass,Bitters,,,,,,,Water,Sugar,Bourbon,Orange,Maraschino Cherry,,,,"In an old-fashioned glass, muddle the bitters and water into the sugar cube, using the back of a teaspoon. Almost fill the glass with ice cubes and add the bourbon. Garnish with the orange slice and the cherry. Serve with a swizzle stick.",3 dashes ,,,,,,,1 tsp ,1 ,3 oz ,1 ,1 ,,,,"Classic Old-Fashioned: A timeless cocktail that combines whiskey, sugar, bitters, and a hint of citrus for a sophisticated and balanced sip."
Clove Cocktail,Http://www.thecocktaildb.com/images/media/drink/qxvtst1461867579.jpg,Cocktail Glass,Sweet Vermouth,,,,,,,Sloe Gin,Wine,,,,,,,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",1 oz ,,,,,,,1/2 oz ,1/2 oz Muscatel ,,,,,,,Clove Cocktail: A fragrant and spiced cocktail that infuses the warmth and complexity of cloves with spirits for a unique flavor experience.
Clover Club,Http://www.thecocktaildb.com/images/media/drink/t0aja61504348715.jpg,Cocktail Glass,Gin,,,,,,,Grenadine,Lemon,Egg White,,,,,,"Dry shake ingredients to emulsify, add ice, shake and served straight up.",1 1/2 oz ,,,,,,,2 tsp ,Juice of 1/2 ,1 ,,,,,,"Clover Club: A classic cocktail featuring gin, raspberry syrup, lemon juice, and egg white, resulting in a balanced and frothy drink."
Coffee Liqueur,Http://www.thecocktaildb.com/images/media/drink/ryvtsu1441253851.jpg,Collins Glass,Coffee,,,,,,,Vanilla Extract,Sugar,Vodka,Water,,,,,"Combine coffee, sugar and water. Simmer 1 hour and let cool. Add vanilla and vodka. Age in sealed jar 2 to 3 weeks.",10 tblsp instant ,,,,,,,4 tblsp ,2 1/2 cups ,1 qt ,2 1/2 cups ,,,,,"Coffee Liqueur: A rich and aromatic liqueur with the robust flavor of coffee, perfect for sipping."
Coffee-vodka,Http://www.thecocktaildb.com/images/media/drink/qvrrvu1472667494.jpg,Collins Glass,Water,,,,,,,Sugar,Coffee,Vanilla,Vodka,Caramel Coloring,,,,"Boil water and sugar until dissolved. Turn off heat. Slowly add dry instant coffee and continue stirring. Add a chopped vanilla bean to the vodka, then combine the cooled sugar syrup and coffee solution with the vodka. Cover tightly and shake vigorously each day for 3 weeks. Strain and filter. Its also best to let the sugar mixture cool completely so the vodka won't evaporate when its added. If you like a smoother feel to the liqueur you can add about 1 teaspoon of glycerine to the finished product.",2 cups ,,,,,,,2 cups white ,1/2 cup instant ,1/2 ,1 1/2 cup ,,,,,"Coffee-Vodka: A bold and invigorating cocktail that combines the robust flavors of coffee and the smoothness of vodka, creating a caffeinated twist."
Coke And Drops,Http://www.thecocktaildb.com/images/media/drink/yrtxxp1472719367.jpg,Cocktail Glass,Coca-cola,,,,,,,Lemon Juice,,,,,,,,"Take a glass, pour the Coke in the glass, then you take 7 drops of lemon juice. Granish with a lemon slice on the rim of the glass.",1 dl ,,,,,,,7 drops ,,,,,,,,"Coke and Drops: A simple yet satisfying combination of cola and a few drops of a preferred spirit, creating a customizable and refreshing beverage."
Cosmopolitan,Http://www.thecocktaildb.com/images/media/drink/kpsajh1504368362.jpg,Cocktail Glass,Absolut Citron,,,,,,,Lime Juice,Cointreau,Cranberry Juice,,,,,,Add all ingredients into cocktail shaker filled with ice. Shake well and double strain into large cocktail glass. Garnish with lime wheel.,1 1/4 oz ,,,,,,,1/4 oz ,1/4 oz ,1/4 cup ,,,,,,"Cosmopolitan: A glamorous and cosmopolitan cocktail made with vodka, cranberry juice, orange liqueur, and a splash of lime, offering a vibrant and tangy taste."
Cosmopolitan Martini,Http://www.thecocktaildb.com/images/media/drink/upxxpq1439907580.jpg,Cocktail Glass,Cointreau,,,,,,,Vodka,Lime,Cranberry Juice,,,,,,"Pour all ingredients in mixing glass half filled with ice, shake and strain into chilled Martini glass.",1/2 oz ,,,,,,,1 oz ,Juice of 1/2 ,1 splash ,,,,,,"Cosmopolitan Martini: A sophisticated variation of the classic Cosmopolitan, served in a martini glass and garnished with a citrus twist for an elegant presentation."
Cranberry Cordial,Http://www.thecocktaildb.com/images/media/drink/qtspsx1472667392.jpg,Collins Glass,Cranberries,,,,,,,Sugar,Light Rum,,,,,,,"Place the chopped cranberries in a 2 liter jar that has a tight-fitting lid. Add the sugar and rum. Adjust the lid securely and place the jar in a cool, dark place. Invert the jar and shake it every day for six weeks. Strain the cordial into bottles and seal with corks.",1/2 kg chopped ,,,,,,,3/4 L ,1/2 L ,,,,,,,"Cranberry Cordial: A sweet and tart cordial made with cranberries, sugar, and spirits, perfect for sipping on its own or as an ingredient in cocktails."
Cranberry Punch,Http://www.thecocktaildb.com/images/media/drink/mzgaqu1504389248.jpg,Punch Bowl,Cranberry Juice,,,,,,,Sugar,Pineapple Juice,Almond Flavoring,Ginger Ale,,,,,"Combine first four ingredients. Stir until sugar is dissolved, chill. Then add ginger ale just before serving. Add ice ring to keep punch cold.",4 cups ,,,,,,,1 1/2 cup ,4 cups ,1 tblsp ,2 qt ,,,,,"Cranberry Punch: A fruity and refreshing punch that highlights the tangy flavors of cranberry, combined with other fruit juices and spirits for a delightful party drink."
Cream Soda,Http://www.thecocktaildb.com/images/media/drink/yqstxr1479209367.jpg,Highball Glass,Spiced Rum,,,,,,,Ginger Ale,,,,,,,,Pour 1oz of Spiced Rum into a highball glass with ice. Fill with Ginger Ale.,1 oz ,,,,,,,,,,,,,,,"Cream Soda: A nostalgic and creamy soda-based beverage with a touch of vanilla, reminiscent of childhood memories."
Creme De Menthe,Http://www.thecocktaildb.com/images/media/drink/yxswtp1441253918.jpg,Collins Glass,Sugar,,,,,,,Water,Grain Alcohol,Peppermint Extract,Food Coloring,,,,,Bring sugar and water to a boil and simmer for 10 minutes. Cool. Add the remaining ingredients and stir. Cover and let ripen for 1 month.,8 cups ,,,,,,,6 cups ,1 pint ,1 oz pure ,1 tblsp green ,,,,,"Creme de Menthe: A mint-flavored liqueur that adds a refreshing and cool element to cocktails, desserts, or enjoyed on its own as an after-dinner digestif."
Cuba Libra,Http://www.thecocktaildb.com/images/media/drink/ck6d0p1504388696.jpg,Highball Glass,Dark Rum,,,,,,,Lime,Coca-cola,Ice,,,,,,Fill tall glass with ice cubes. Add rum. Rub cut edge of lime on rim of glass then squeeze juice into glass. Fill with Coca-Cola. Garnish with lime slice. Enjoy!,1-2 shot ,,,,,,,Squeeze ,Fill with ,,,,,,,"Cuba Libra: A classic cocktail that blends rum, cola, and a squeeze of lime, offering a simple yet satisfying combination of flavors."
Cuba Libre,Http://www.thecocktaildb.com/images/media/drink/uuxsrr1473201663.jpg,Highball Glass,Light Rum,,,,,,,Lime,Coca-cola,,,,,,,Build all ingredients in a Collins glass filled with ice. Garnish with lime wedge.,2 oz ,,,,,,,Juice of 1/2 ,,,,,,,,"Cuba Libre: Another name for the Cuba Libra cocktail, known for its tropical vibes and refreshing taste."
Daiquiri,Http://www.thecocktaildb.com/images/media/drink/usuuur1439906797.jpg,Cocktail Glass,Light Rum,,,,,,,Lime,Powdered Sugar,,,,,,,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.,1 1/2 oz ,,,,,,,Juice of 1/2 ,1 tsp ,,,,,,,"Daiquiri: A classic and versatile cocktail made with rum, lime juice, and sugar, offering a balance of sweetness and acidity."
Damned If You Do,Http://www.thecocktaildb.com/images/media/drink/ql7bmx1503565106.jpg,Shot Glass,Whiskey,,,,,,,Hot Damn,,,,,,,,Pour into shot glass. Put in mouth. Repeat as deemed necessary.,0.75 oz ,,,,,,,0.25 oz ,,,,,,,,"Damned if you do: An intriguing cocktail that combines various spirits, citrus flavors, and a touch of sweetness for a complex and enticing drink."
Danbooka,Http://www.thecocktaildb.com/images/media/drink/vurrxr1441246074.jpg,Coffee Mug,Coffee,,,,,,,Everclear,,,,,,,,pour it in and mix it.,3 parts ,,,,,,,1 part ,,,,,,,,"Danbooka: A unique and flavorful cocktail that combines the essence of Danziger Goldwasser liqueur with the boldness of vodka, resulting in a distinct taste."
Dark Caipirinha,Http://www.thecocktaildb.com/images/media/drink/uwstrx1472406058.jpg,Highball Glass,Demerara Sugar,,,,,,,Lime,Cachaca,,,,,,,"Muddle the sugar into the lime wedges in an old-fashioned glass.
Fill the glass with ice cubes.
Pour the cachaca into the glass.
Stir well.",2 tsp ,,,,,,,1,2 1/2 oz,,,,,,,"Dark Caipirinha: A darker variation of the traditional Caipirinha, made with aged cachaça and brown sugar, offering a richer and more complex flavor profile."
Dark And Stormy,Http://www.thecocktaildb.com/images/media/drink/t1tn0s1504374905.jpg,Highball Glass,Dark Rum,,,,,,,Ginger Beer,,,,,,,,In a highball glass filled with ice add 6cl dark rum and top with ginger beer. Garnish with lime wedge.,5 cl,,,,,,,10 cl,,,,,,,,"Dark and Stormy: A classic cocktail that blends dark rum, ginger beer, and a squeeze of lime, creating a refreshing and slightly spicy drink."
Darkwood Sling,Http://www.thecocktaildb.com/images/media/drink/sxxsyq1472719303.jpg,Cocktail Glass,Cherry Heering,,,,,,,Soda Water,Orange Juice,Ice,,,,,,"There are many good cherry liqueurs you can use, but I prefere Heering. Add one share of the liqueur. Then you add one share of Soda. For a sour sling use Tonic (most people prefer the drink without Tonic). Afterwards you fill the glass with Orange Juice and ice cubes.",1 part ,,,,,,,1 part ,1 part ," cubes
",,,,,,"Darkwood Sling: A sophisticated and aromatic cocktail that combines dark rum, cherry brandy, citrus juices, and a hint of spice for a well-rounded sip."
Derby,Http://www.thecocktaildb.com/images/media/drink/i502ra1504349156.jpg,Cocktail Glass,Gin,,,,,,,Peach Bitters,Mint,,,,,,,Pour all ingredients into a mixing glass with ice. Stir. Strain into a cocktail glass. Garnish with a sprig of fresh mint in the drink.,6 cl,,,,,,,2 dashes,2 Fresh leaves,,,,,,,"Derby: A classic bourbon-based cocktail that blends whiskey, sweet vermouth, and bitters, creating a smooth and timeless drink."
Diesel,Http://www.thecocktaildb.com/images/media/drink/sxrrqq1454512852.jpg,Pint Glass,Lager,,,,,,,Cider,Blackcurrant Cordial,,,,,,,Pour the lager first then add the blackcurrant cordial. Top up with the cider. The colour sholud be very dark approaching the colour of Guiness.,1/2 pint ,,,,,,,1/2 pint ,1 dash ,,,,,,,"Diesel: A bold and energizing cocktail that combines beer with a shot of spirits, offering a potent and invigorating experience."
Dirty Martini,Http://www.thecocktaildb.com/images/media/drink/vcyvpq1485083300.jpg,Cocktail Glass,Vodka,,,,,,,Dry Vermouth,Olive Brine,Lemon,Olive,,,,,"Pour the vodka, dry vermouth and olive brine into a cocktail shaker with a handful of ice and shake well.
Rub the rim of a martini glass with the wedge of lemon.
Strain the contents of the cocktail shaker into the glass and add the olive.
A dirty Martini contains a splash of olive brine or olive juice and is typically garnished with an olive.",70ml/2fl oz,,,,,,,1 tbsp,2 tbsp,1 wedge,1,,,,,"Dirty Martini: A classic Martini variation that includes a splash of olive brine, adding a savory and briny twist to the smoothness of vodka or gin."
Dirty Nipple,Http://www.thecocktaildb.com/images/media/drink/vtyqrt1461866508.jpg,Shot Glass,Kahlua,,,,,,,Sambuca,Bailey's Irish Cream,,,,,,,This is a layered shot - the Bailey's must be on top,,,,,,,,,,,,,,,,"Dirty Nipple: A playful and indulgent shooter that combines Irish cream liqueur and coffee liqueur, resulting in a creamy and flavorful sip."
Downshift,Http://www.thecocktaildb.com/images/media/drink/y36z8c1503563911.jpg,Hurricane Glass,Fruit Punch,,,,,,,Sprite,Tequila,151 Proof Rum,,,,,,"Start with the Sprite. Next comes the tequila. After that, add the Minute Maid Fruit Punch, then float the 151. Rocks optional.",2 part ,,,,,,,1 part ,2 shots ,Float Bacardi ,,,,,,"Downshift: A refreshing and citrusy cocktail that combines vodka, grapefruit juice, and a splash of lime, offering a zesty and tangy experience."
Dragonfly,Http://www.thecocktaildb.com/images/media/drink/lnvbip1504389100.jpg,Highball Glass,Gin,,,,,,,Ginger Ale,Lime,,,,,,,"In a highball glass almost filled with ice cubes, combine the gin and ginger ale. Stir well. Garnish with the lime wedge.",1 1/2 oz ,,,,,,,4 oz ,1 ,,,,,,,"Dragonfly: A vibrant and exotic cocktail that blends vodka, lime juice, ginger beer, and a dash of blue curaçao, creating a visually stunning drink with a hint of spice."
Drinking Chocolate,Http://www.thecocktaildb.com/images/media/drink/u6jrdf1487603173.jpg,Coffee Mug,Heavy Cream,,,,,,,Milk,Cinnamon,Vanilla,Chocolate,Whipped Cream,,,,"Heat the cream and milk with the cinnamon and vanilla bean very slowly for 15-20 minutes. (If you don't have any beans add 1-2 tsp of vanilla after heating). Remove the bean and cinnamon. Add the chocolate. Mix until fully melted. Serve topped with some very dense fresh whipped cream. Serves 1-2 depending upon how much of a glutton you are. For a richer chocolate, use 4 oz of milk, 4 oz of cream, 4 oz of chocolate. Serve in coffee mug.",2 oz ,,,,,,,6-8 oz ,1 stick ,1 ,2 oz finely chopped dark ,Fresh ,,,,"Drinking Chocolate: A luxurious and decadent beverage made with rich chocolate, milk, and a touch of sweetness, perfect for indulging in a velvety treat."
Dry Rob Roy,Http://www.thecocktaildb.com/images/media/drink/typuyq1439456976.jpg,Cocktail Glass,Scotch,,,,,,,Dry Vermouth,Lemon Peel,,,,,,,"In a mixing glass half-filled with ice cubes, combine the Scotch and vermouth. Stir well. Strain into a cocktail glass. Garnish with the lemon twist.",2 1/2 oz ,,,,,,,1 1/2 tsp ,1 twist of ,,,,,,,"Dry Rob Roy: A sophisticated and elegant cocktail that substitutes Scotch whisky for the traditional American bourbon in a Rob Roy, resulting in a drier and smokier flavor profile."
Dubonnet Cocktail,Http://www.thecocktaildb.com/images/media/drink/xxsuwr1439457147.jpg,Cocktail Glass,Dubonnet Rouge,,,,,,,Gin,Bitters,Lemon Peel,,,,,,Stir all ingredients (except lemon peel) with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,1 1/2 oz ,,,,,,,3/4 oz ,1 dash ,1 twist of ,,,,,,"Dubonnet Cocktail: A classic cocktail that combines Dubonnet, a fortified wine, with a base spirit like gin or vodka, offering a complex and herbaceous taste."
